Time (UTC),Latitude,Longitude,Temperature QC,Temperature,Salinity QC,Salinity,Chlorophyll QC,Chlorophyll,Turbidity QC,Turbidity,Oxygen QC,Oxygen,Waves QC,Significant wave height,Wave from direction,Wave period,North surface currents,East surface currents,,
5/17/22 15:30,36.99836,-76.0892,2,,2,,2,,2,,2,,2,,2,,2,,234.22,-217.71
5/17/22 15:36,36.99836,-76.0892,2,,2,,2,,2,,2,,2,,2,,2,,229.55,-186.16
5/17/22 15:42,36.99836,-76.08902,2,,2,,2,,2,,2,,2,,2,,2,,220.34,-148.13
5/17/22 15:48,36.99836,-76.08907,2,,2,,2,,2,,2,,2,,2,,2,,215.45,-107.26
5/17/22 15:54,36.99833,-76.0892,2,,2,,2,,2,,2,,2,,2,,2,,241.88,-25.38
5/17/22 16:00,36.99835,-76.08898,2,,2,,2,,2,,2,,2,,2,,2,,226.21,-1.55
5/17/22 16:06,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,200.82,15.93
5/17/22 16:12,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,184.24,44.98
5/17/22 16:18,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,166.05,74.45
5/17/22 16:24,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,163.54,88.85
5/17/22 16:30,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,151.66,119.76
5/17/22 16:36,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,130.13,138.34
5/17/22 16:42,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,104.37,149.39
5/17/22 16:48,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,97.62,168.55
5/17/22 16:54,36.99836,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,77.56,194.43
5/17/22 17:00,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,51.95,213.72
5/17/22 17:06,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,37.08,248.22
5/17/22 17:12,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,-5.14,263.74
5/17/22 17:18,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,-30.01,285
5/17/22 17:24,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,-60.85,298.92
5/17/22 17:30,36.99833,-76.08897,2,,2,,2,,2,,2,,2,,2,,2,,-90.3,319.85
