date,package,title
2022-05-15 ,Directional,A Collection of Functions for Directional Data Analysis 
2022-05-15 ,emmeans,"Estimated Marginal Means, aka Least-Squares Means "
2022-05-15 ,mmabig,Multiple Mediation Analysis for Big Data Sets 
2022-05-15 ,roclang,Functions for Diffusing Function Documentations into 'Roxygen' Comments 
2022-05-15 ,urlshorteneR,R Wrapper for the 'Bit.ly' and 'Is.gd'/'v.gd' URL Shortening Services 
2022-05-14 ,AgroReg,Regression Analysis Linear and Nonlinear for Agriculture 
2022-05-14 ,BAYSTAR,On Bayesian Analysis of Threshold Autoregressive Models 
2022-05-14 ,concstats,"Market Structure, Concentration and Inequality Measures "
2022-05-14 ,cwbtools,"Tools to Create, Modify and Manage 'CWB' Corpora "
2022-05-14 ,DEM,The Distributed EM Algorithms in Multivariate Gaussian Mixture Models 
2022-05-14 ,doolkit,Exploration of Dental Surface Topography 
2022-05-14 ,eatRep,Educational Assessment Tools for Replication Methods 
2022-05-14 ,egor,Import and Analyse Ego-Centered Network Data 
2022-05-14 ,frenchCurve,Generate Open or Closed Interpolating Curves 
2022-05-14 ,gsloid,Global Sea Level and Oxygen Isotope Data 
2022-05-14 ,HDPenReg,High-Dimensional Penalized Regression 
2022-05-14 ,lightr,Read Spectrometric Data and Metadata 
2022-05-14 ,navigatr,Navigation Menu for Pipe-Friendly Data Processing 
2022-05-14 ,openssl,"Toolkit for Encryption, Signatures and Certificates Based on OpenSSL "
2022-05-14 ,optmatch,Functions for Optimal Matching 
2022-05-14 ,oro.nifti,Rigorous - 'NIfTI' + 'ANALYZE' + 'AFNI' : Input / Output 
2022-05-14 ,pa,Performance Attribution for Equity Portfolios 
2022-05-14 ,photobiologyInOut,Read Spectral and Logged Data from Foreign Files 
2022-05-14 ,photobiologyLEDs,Spectral Data for Light-Emitting-Diodes 
2022-05-14 ,RCzechia,Spatial Objects of the Czech Republic 
2022-05-14 ,rEDM,Empirical Dynamic Modeling ('EDM') 
2022-05-14 ,reldist,Relative Distribution Methods 
2022-05-14 ,rolog,Query 'SWI'-'Prolog' from R 
2022-05-14 ,scCATCH,Single Cell Cluster-Based Annotation Toolkit for Cellular Heterogeneity 
2022-05-14 ,spBayesSurv,Bayesian Modeling and Analysis of Spatially Correlated Survival Data 
2022-05-14 ,SplitGLM,Split Generalized Linear Models 
2022-05-14 ,spNetwork,Spatial Analysis on Network 
2022-05-14 ,ssdtools,Species Sensitivity Distributions 
2022-05-14 ,startup,Friendly R Startup Configuration 
2022-05-14 ,TAM,Test Analysis Modules 
2022-05-14 ,tpn,Truncated Positive Normal Model and Extensions 
2022-05-14 ,V8,Embedded JavaScript and WebAssembly Engine for R 
2022-05-13 ,ahaz,Regularization for Semiparametric Additive Hazards Regression 
2022-05-13 ,aRtsy,Generative Art with 'ggplot2' 
2022-05-13 ,berryFunctions,Function Collection Related to Plotting and Hydrology 
2022-05-13 ,bumbl,Tools for Modeling Bumblebee Colony Growth and Decline 
2022-05-13 ,CausCor,Calculate Correlations and Estimate Causality 
2022-05-13 ,CDM,Cognitive Diagnosis Modeling 
2022-05-13 ,circularEV,Extreme Value Analysis for Circular Data 
2022-05-13 ,DanielBiostatistics10th,"Functions for Wayne W. Daniel's Biostatistics, Tenth Edition "
2022-05-13 ,DDIwR,DDI with R 
2022-05-13 ,diceR,Diverse Cluster Ensemble in R 
2022-05-13 ,ecospat,Spatial Ecology Miscellaneous Methods 
2022-05-13 ,ecpc,Flexible Co-Data Learning for High-Dimensional Prediction 
